iter	MultiClass
0	1.329748802
1	1.286742486
2	1.253628269
3	1.227794396
4	1.207151277
5	1.190426666
6	1.176874108
7	1.165777274
8	1.156848938
9	1.148929752
10	1.142473918
11	1.137170334
12	1.132599683
13	1.128809899
14	1.125643392
15	1.122969841
16	1.120727114
17	1.118817284
18	1.117029261
19	1.115716679
20	1.114591536
21	1.113362525
22	1.11212347
23	1.111108267
24	1.110243809
25	1.109423707
26	1.108677436
27	1.108044827
28	1.107428708
29	1.106787448
30	1.106042211
31	1.105570629
32	1.105037858
33	1.104658482
34	1.10420433
35	1.103686731
36	1.103187979
37	1.102795677
38	1.102383738
39	1.101928835
40	1.10155026
41	1.101235573
42	1.100931288
43	1.100554078
44	1.100162049
45	1.099895314
46	1.099547277
47	1.099288518
48	1.098981377
49	1.098621967
50	1.098367322
51	1.098129476
52	1.097929729
53	1.097628867
54	1.097452867
55	1.097248961
56	1.096905104
57	1.09669958
58	1.096408726
59	1.096141084
60	1.095836515
61	1.095658691
62	1.095460419
63	1.095244
64	1.094996298
65	1.094789781
66	1.094503474
67	1.09424765
68	1.094009433
69	1.093801453
70	1.093575745
71	1.093350662
72	1.09318453
73	1.092948434
74	1.092690455
75	1.092571662
76	1.092361901
77	1.09214117
78	1.091968457
79	1.091781444
80	1.091508232
81	1.091346169
82	1.091190248
83	1.090999463
84	1.09086294
85	1.090650311
86	1.090398644
87	1.090154594
88	1.089957394
89	1.089718928
90	1.089540346
91	1.08936578
92	1.089126618
93	1.088921647
94	1.08872346
95	1.088584689
96	1.088477827
97	1.088304088
98	1.088190231
99	1.088124767
100	1.088030789
101	1.08782146
102	1.087667735
103	1.08757419
104	1.08743721
105	1.087305136
106	1.08716597
107	1.087038436
108	1.086828338
109	1.086662591
110	1.0865563
111	1.086377478
112	1.086196593
113	1.086046394
114	1.085858826
115	1.085729547
116	1.085578996
117	1.085395597
118	1.085182276
119	1.084972852
120	1.084762458
121	1.084595161
122	1.084430514
123	1.084326117
124	1.084093469
125	1.083921881
126	1.083803521
127	1.08363396
128	1.083492935
129	1.08337877
130	1.083236372
131	1.083059599
132	1.082955945
133	1.08280048
134	1.082656913
135	1.082452153
136	1.082254486
137	1.082082794
138	1.081906263
139	1.081784266
140	1.081683189
141	1.081574173
142	1.081436757
143	1.08133736
144	1.081152018
145	1.081039643
146	1.08083223
147	1.080729898
148	1.080566203
149	1.08044202
150	1.080233907
151	1.080079153
152	1.079916536
153	1.079819759
154	1.079702014
155	1.079517291
156	1.079371446
157	1.079222404
158	1.079124621
159	1.078954304
160	1.078799985
161	1.078664001
162	1.078562447
163	1.078428538
164	1.078266867
165	1.07815368
166	1.078035045
167	1.077923587
168	1.077799377
169	1.077702361
170	1.077646242
171	1.077561385
172	1.077442387
173	1.077338982
174	1.077244789
175	1.077151203
176	1.076999272
177	1.076883514
178	1.076754959
179	1.076658103
180	1.076501225
181	1.076375182
182	1.076295507
183	1.076189785
184	1.076093433
185	1.075944831
186	1.075805442
187	1.075717488
188	1.07558667
189	1.075453325
190	1.07535166
191	1.075248164
192	1.075141559
193	1.075025747
194	1.0749331
195	1.074831865
196	1.074717603
197	1.074632595
198	1.074478025
199	1.07432543
200	1.07424151
201	1.074100159
202	1.073998447
203	1.073873178
204	1.07377519
205	1.073567696
206	1.073423744
207	1.073331936
208	1.073241024
209	1.073162699
210	1.073108578
211	1.072994559
212	1.072863722
213	1.07276212
214	1.072677173
215	1.07259662
216	1.072500561
217	1.072410013
218	1.072270468
219	1.072146595
220	1.072084382
221	1.071973824
222	1.071814308
223	1.071708046
224	1.071614022
225	1.071509356
226	1.071420553
227	1.071327055
228	1.071166069
229	1.07108062
230	1.070928191
231	1.070745256
232	1.070690835
233	1.070566942
234	1.070460844
235	1.070387039
236	1.070242921
237	1.070117138
238	1.070039928
239	1.069921581
240	1.069815626
241	1.069738695
242	1.069621789
243	1.069542634
244	1.069428962
245	1.069337315
246	1.069230288
247	1.069144035
248	1.069073695
249	1.0690239
250	1.068929179
251	1.068867435
252	1.06874577
253	1.068636295
254	1.06854628
255	1.06845896
256	1.068382081
257	1.068331903
258	1.068229921
259	1.068130653
260	1.068048788
261	1.067942168
262	1.067859936
263	1.067756657
264	1.067686974
265	1.067579224
266	1.067475637
267	1.067401202
268	1.067340825
269	1.06726661
270	1.067172858
271	1.067090597
272	1.066966997
273	1.066923208
274	1.066899374
275	1.066791158
276	1.066665946
277	1.066565067
278	1.066462748
279	1.066382793
280	1.066301791
281	1.066128269
282	1.066004354
283	1.065900251
284	1.065847201
285	1.065757013
286	1.06568324
287	1.065577017
288	1.06545859
289	1.065394701
290	1.065261681
291	1.0651154
292	1.065049121
293	1.064985943
294	1.064879086
295	1.064777799
296	1.064719588
