iter	Passed	Remaining
0	10	10134
1	48	24173
2	59	19896
3	71	17744
4	87	17352
5	96	15922
6	138	19594
7	154	19110
8	163	17966
9	174	17247
10	189	17051
11	206	17020
12	243	18505
13	254	17955
14	266	17491
15	277	17084
16	289	16728
17	330	18035
18	346	17915
19	361	17702
20	370	17279
21	380	16932
22	396	16835
23	440	17916
24	455	17761
25	464	17417
26	473	17078
27	489	17009
28	531	17804
29	546	17679
30	558	17442
31	569	17227
32	592	17347
33	604	17173
34	638	17616
35	653	17509
36	672	17495
37	681	17264
38	690	17026
39	697	16736
40	703	16453
41	709	16193
42	721	16065
43	729	15843
44	735	15618
45	742	15392
46	748	15183
47	755	14979
48	761	14788
49	771	14650
50	778	14481
51	786	14338
52	792	14159
53	799	13999
54	805	13833
55	824	13902
56	835	13824
57	842	13683
58	848	13533
59	854	13390
60	863	13293
61	869	13159
62	875	13027
63	890	13025
64	900	12960
65	907	12835
66	922	12846
67	928	12725
68	945	12760
69	963	12806
70	976	12780
71	983	12673
72	989	12559
73	994	12450
74	1006	12410
75	1012	12308
76	1018	12204
77	1024	12111
78	1030	12012
79	1036	11916
80	1042	11823
81	1047	11730
82	1054	11647
83	1060	11561
84	1065	11474
85	1071	11389
86	1077	11305
87	1104	11441
88	1110	11361
89	1122	11346
90	1138	11377
91	1152	11378
92	1167	11387
93	1204	11605
94	1218	11604
95	1228	11564
96	1242	11569
97	1257	11570
98	1268	11548
99	1302	11719
100	1317	11731
101	1327	11690
102	1339	11667
103	1351	11643
104	1364	11634
105	1408	11879
106	1429	11932
107	1443	11925
108	1467	11993
109	1490	12062
110	1507	12072
111	1517	12031
112	1523	11958
113	1529	11886
114	1535	11814
115	1540	11743
116	1546	11674
117	1552	11606
118	1558	11539
119	1564	11472
120	1570	11411
121	1599	11510
122	1605	11446
123	1611	11382
124	1617	11320
125	1623	11260
126	1629	11197
127	1634	11138
128	1640	11077
129	1646	11020
130	1652	10962
131	1658	10904
132	1664	10849
133	1671	10804
134	1703	10916
135	1717	10911
136	1728	10891
137	1742	10884
138	1755	10871
139	1766	10853
140	1782	10862
141	1795	10846
142	1801	10799
143	1812	10773
144	1818	10722
145	1824	10672
146	1830	10622
147	1836	10571
148	1842	10521
149	1848	10472
150	1853	10423
151	1859	10375
152	1865	10329
153	1894	10406
154	1900	10362
155	1906	10317
156	1913	10272
157	1919	10228
158	1925	10182
159	1931	10138
160	1937	10094
161	1943	10051
162	1948	10007
163	1954	9965
164	1960	9923
165	1993	10017
166	1999	9975
167	2006	9934
168	2011	9892
169	2017	9852
170	2023	9811
171	2029	9771
172	2035	9731
173	2041	9692
174	2047	9653
175	2053	9614
176	2059	9575
177	2092	9663
178	2108	9669
179	2121	9666
180	2134	9658
181	2149	9661
182	2159	9639
183	2186	9698
184	2192	9660
185	2198	9622
186	2205	9587
187	2211	9550
188	2217	9514
189	2223	9477
190	2228	9440
191	2235	9405
192	2241	9370
193	2246	9334
194	2265	9351
195	2285	9374
196	2291	9339
197	2299	9316
198	2306	9284
199	2313	9253
200	2320	9222
201	2326	9191
202	2333	9161
203	2340	9130
204	2346	9099
205	2352	9069
206	2359	9039
207	2393	9113
208	2401	9087
209	2407	9057
210	2413	9025
211	2419	8993
212	2425	8961
213	2431	8930
214	2437	8899
215	2443	8868
216	2449	8837
217	2454	8806
218	2460	8775
219	2491	8834
220	2508	8842
221	2518	8824
222	2529	8814
223	2541	8803
224	2579	8884
225	2593	8880
226	2606	8877
227	2616	8858
228	2628	8848
229	2643	8850
230	2674	8904
231	2681	8875
232	2688	8849
233	2694	8820
234	2700	8790
235	2708	8769
236	2715	8740
237	2720	8711
238	2726	8681
239	2732	8652
240	2738	8623
241	2743	8594
242	2748	8562
